month,year,unemp_respondent,unemp_cpsr,unemp_psr,unemp_pcbs,supportHamas,supportFatah,supportOther,supportNone,armedattacks,armedattacks_civilians ,armedattacks_soldiers,armedattacks_settlers,govsup,source_unemployment,source_support,source_armed,source_govsup,question_unemployment,question_support,question_armed,question_govsup,size
December,1994,NA,44,NA,NA,18.9,45.5,25.7,9.9,NA,NA,NA,NA,36.4,CPRS_1994_Dec_Poll#14,CPRS_1994_Dec_Poll#14,,CPRS_1994_Dec_Poll#14,Estimated by pollster,"If elections were held today, you would vote for candidates
affiliated with:",," What is your evaluation of the performance of the Palestinian National
Authority?
: Excellent +  Good
",416
January,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
February,1995,NA,57,NA,NA,15.1,50.2,23.8,10.9,49.5,NA,NA,NA,NA,CPRS_1995_Feb_Poll#15,CPRS_1995_Feb_Poll#16,,,Estimated by pollster,"If elections were held today, you would vote for candidates
affiliated with:"," With regard to armed attacks against Israeli targets, I...
: Support them",,420
March,1995,NA,43,NA,NA,14.5,52.9,20,12.6,33.8,NA,NA,NA,40,CPRS_1995_Mar_Poll#16,CPRS_1995_Mar_Poll#16,,CPRS_1995_Mar_Poll#16,Estimated by pollster,"If elections were held today, you would vote for candidates
affiliated with:","With regard to armed attacks against Israeli targets, I...","What is your evaluation of the performance of the Palestinian National
Authority?
: Excellent + Good",433
April,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
May,1995,NA,39,NA,NA,12.6,56.6,21.3,9.5,NA,NA,NA,NA,NA,CPRS_1995_May_Poll#17,CPRS_1995_May_Poll#17,,,,"If elections were held today, you would vote for candidates
affiliated with:",,,415
June,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
July,1995,NA,33,NA,NA,11.9,43.7,22.1,21.8,NA,NA,NA,NA,NA,CPRS_1995_JULY_Poll#18,CPRS_1995_JULY_Poll#18,,,,"If elections were held today, you would vote for candidates
affiliated with:",,,390
August,1995,NA,NA,NA,NA,18.4,41.8,23.7,16.1,NA,19.6,69.2,65.8,36.7,,CPRS_1995_Aug and Sep_Poll#19,CPRS_1995_Aug and Sep_Poll#19,CPRS_1995_Aug and Sep_Poll#19,, Which of the following factions do you support: ,"Note: only soldier, civilian, settler"," What is your evaluation of the performance of the Palestinian National
Authority? 
: Excellent + Good",449
September,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
October,1995,NA,NA,NA,NA,10.6,55.9,17,16.5,NA,NA,NA,NA,NA,,CPRS_1995_Oct_Poll#20,,,," If general political elections were held and I decided to participate,
I would vote for...",,,415
November,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
December,1995,NA,37,NA,NA,8.6,61.4,16.4,13.6,NA,NA,NA,NA,NA,CPRS_1995_Dec_Poll#21,CPRS_1995_Dec_Poll#21,,,,"If elections were held today, you would vote for candidates
affiliated with:",,,415
January,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
February,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
March,1996,NA,60,NA,NA,5.5,52.6,16,25.9,16.8,NA,NA,NA,NA,CPRS_1996_Mar_Poll#22,CPRS_1996_Mar_Poll#22,CPRS_1996_Mar_Poll#22,,, Which of the following political movements do you support: ," Lately, armed attacks have taken place against Israelis in Jerusalem,
Tel Aviv and Ashkelon. Do you support such attacks?
: yes",,476
April,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
May,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
June,1996,NA,47,NA,NA,6.2,49.7,18.1,26,NA,NA,NA,NA,NA,CPRS_1996_June_Poll#23,CPRS_1996_June_Poll#23,,,,Which of the following political trends do you support?,,,518
July,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
August,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
September,1996,NA,45,NA,NA,7.9,46.6,17.6,27.9,NA,NA,NA,NA,67.2,CPRS_1996_Sep_Poll#24,CPRS_1996_Sep_Poll#24,,CPRS_1996_Sep_Poll#24,, Which political party do you support?,,"Generally, how do you evaluate the performance of the Palestinian government (the
Cabinet)?
: Very good+good",456
October,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
November,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
December,1996,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.6,CPRS_1996_Dec_Poll#25,,CPRS_1996_Dec_Poll#25,CPRS_1996_Dec_Poll#25,,,"With regard to armed attacks against Israeli targets, I...","Performance of the Palestinian Government
: very good+good",503
January,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
February,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
March,1997,NA,43,NA,NA,7.2,52.3,11.9,28.7,36.1,NA,NA,NA,NA,CPRS_1997_Mar_Poll#26,CPRS_1997_Mar_Poll#26,CPRS_1997_Mar_Poll#26,,, Which political party do you support?,"With regard to armed attacks against Israeli targets, I...
: Support",,518
April,1997,NA,50,NA,NA,11.1,46,17,25.9,NA,NA,NA,NA,62.1,CPRS_1997_Apr_Poll#27,CPRS_1997_Apr_Poll#27,,CPRS_1997_Apr_Poll#27,,Which political party do you support?,,"Generally, how do you evaluate the performance of the Palestinian government (the Executive
Cabinet)? : Very good + good",510
May,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
June,1997,NA,37,NA,NA,7.8,46.8,15.6,29.7,NA,NA,NA,NA,54.8,CPRS_1997_June_Poll#28,CPRS_1997_June_Poll#28,,CPRS_1997_June_Poll#28,,Which political party do you support?,," Generally, how do you evaluate the performance of the Palestinain Executive Authority (the
Cabinet) : Very good + good",507
July,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
August,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
September,1997,NA,44,NA,NA,10.1,41.9,15.2,32.9,38.1,NA,NA,NA,60.2,CPRS_1997_Sep_Poll#29,CPRS_1997_Sep_Poll#29,CPRS_1997_Sep_Poll#29,CPRS_1997_Sep_Poll#29,,Which political party do you support?,Several suicide attacks against Israelis took place in West Jerusalem during the past few weeks. Do you support or oppose these attacks?: Support," Generally, how do you evaluate the performance of the Palestinain Executive Authority (the
Cabinet) : Very good + good",507
October,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
November,1997,NA,34,NA,NA,11.2,45.4,17.4,25.9,NA,NA,NA,NA,NA,CPRS_1997_Nov_Poll#30,CPRS_1997_Nov_Poll#30,,,,Which of the following political trends do you support?,,,500
December,1997,NA,46,NA,NA,11.5,43.4,13.9,31.2,NA,NA,NA,NA,66.2,CPRS_1997_Dec_Poll#31,CPRS_1997_Dec_Poll#31,,CPRS_1997_Dec_Poll#31,,Which of the following political trends do you support?,,"Generally, how do you evaluate the performance of the Palestinian government (the Cabinet)? : Very good + good",489
January,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
February,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
March,1998,NA,33,NA,NA,11.1,50.8,12.3,25.7,NA,NA,NA,NA,55.4,CPRS_1998_Mar_Poll#32,CPRS_1998_Mar_Poll#32,,CPRS_1998_Mar_Poll#32,,Which of the following political trends do you support?,,"Generally, how do you evaluate the performance of the Palestinian government (the Cabinet)? : Very good + good",506
April,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
May,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
June,1998,NA,35,NA,NA,14.1,44.3,11.7,30.1,54.2,NA,NA,NA,55.7,CPRS_1998_June_Poll#33,CPRS_1998_June_Poll#33,CPRS_1998_June_Poll#34,CPRS_1998_June_Poll#33,,Which of the following political parties do you support?,"Concerning the armed attack against Israeli targets, I....
: Support","Generally, how do you evaluate the performance of the Palestinian government (the Cabinet)? : Very good + good",528
July,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
August,1998,NA,38,NA,NA,11,43.4,12.9,32.7,50.3,NA,NA,NA,NA,CPRS_1998_Aug_Poll#35,CPRS_1998_Aug_Poll#35,CPRS_1998_Aug_Poll#35,,,Which of the following political parties do you support?,"Concerning the armed attack against Israeli targets, I....
: Support",,508
September,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
October,1998,NA,45,NA,NA,13.8,40.8,14.9,30.5,49,NA,NA,NA,44.9,CPRS_1998_Oct_Poll#36,CPRS_1998_Oct_Poll#36,CPRS_1998_Oct_Poll#36,CPRS_1998_Oct_Poll#36,,Which of the following political parties do you support?,"Concerning the armed attack against Israeli targets, I....
: Support","Generally, how do you evaluate the performance of the Palestinian government (the Cabinet)? : Very good + good",517
November,1998,NA,29,NA,NA,11.1,40.7,15.5,32.6,41.2,NA,NA,NA,NA,CPRS_1998_Nov_Poll#37,CPRS_1998_Nov_Poll#37,CPRS_1998_Nov_Poll#37,,,Which of the following political parties do you support?,"Concerning the armed attack against Israeli targets, I....
: Support",,493
December,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
January,1999,NA,28,NA,NA,15.5,41.5,16.8,26.1,52,NA,NA,NA,52.4,CPRS_1999_Jan_Poll#38,CPRS_1999_Jan_Poll#38,CPRS_1999_Jan_Poll#38,CPRS_1999_Jan_Poll#38,,Which of the following political parties do you support?,"Concerning the armed attack against Israeli targets, I....
: Support","Generally, how do you evaluate the performance of the Palestinian government (the Cabinet)? : Very good + good",NA
February,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
March,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
April,1999,NA,27,NA,NA,12.9,40.8,15.8,30.3,45.5,NA,NA,NA,44.9,CPRS_1999_Apr_Poll#40,CPRS_1999_Apr_Poll#40,CPRS_1999_Apr_Poll#40,CPRS_1999_Apr_Poll#40,,,"Concerning the armed attack against Israeli targets, I....
: Support","Generally, how do you evaluate the performance of the Palestinian government (the Cabinet)? : Very good + good",495
May,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
June,1999,NA,23,NA,NA,11.5,40.7,14.2,33.4,46.1,NA,NA,NA,NA,CPRS_1999_june_Poll#41,CPRS_1999_june_Poll#41,CPRS_1999_june_Poll#41,,,Which of the following political parties do you support?,"Concerning the armed attack against Israeli targets, I....
: Support",,495
July,1999,NA,24,NA,NA,10.9,39.9,13.3,36,37.4,NA,NA,NA,49.8,CPRS_1999_July_Poll#42,CPRS_1999_July_Poll#42,CPRS_1999_July_Poll#42,CPRS_1999_July_Poll#42,,Which of the following political parties do you support?,"Concerning the armed attack against Israeli targets, I....
: Support","Generally, how do you evaluate the performance of the Palestinian government (the Cabinet)? : Very good + good",506
August,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
September,1999,NA,26,NA,NA,11.3,37.3,17.1,34.3,36.6,NA,NA,NA,NA,CPRS_1999_Sep_Poll#43,CPRS_1999_Sep_Poll#43,CPRS_1999_Sep_Poll#43,,,Which of the following political parties do you support?,"Concerning the armed attack against Israeli targets, I....
: Support",,496
October,1999,NA,22,NA,NA,9.5,37.2,14.7,38.6,36.9,NA,NA,NA,41.6,CPRS_1999_Oct_Poll#44,CPRS_1999_Oct_Poll#44,CPRS_1999_Oct_Poll#44,CPRS_1999_Oct_Poll#44,,Which of the following political parties do you support?,"Concerning the armed attack against Israeli targets, I....
: Support","Generally, how do you evaluate the performance of the Palestinian government (the Cabinet)? : Very good + good",493
November,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
December,1999,NA,26,NA,NA,7.5,35.2,18.7,38.6,34.3,NA,NA,NA,NA,CPRS_1999_Dec_Poll#45,CPRS_1999_Dec_Poll#45,CPRS_1999_Dec_Poll#45,,,Which of the following political parties do you support?,"Concerning the armed attack against Israeli targets, I....
: Support",,492
January,2000,NA,26,NA,NA,11.6,38,17.6,32.9,38.8,NA,NA,NA,42.6,CPRS_2000_Jan_Poll#46,CPRS_2000_Jan_Poll#46,CPRS_2000_Jan_Poll#46,CPRS_2000_Jan_Poll#46,,,"Concerning the armed attack against Israeli targets, I....
: Support","Generally, how do you evaluate the performance of the Palestinian government (the Cabinet)? : Very good + good",NA
February,2000,NA,26,NA,NA,11.6,38,17.6,32.9,38.8,NA,NA,NA,NA,CPRS_2000_Feb_Poll#47,CPRS_2000_Feb_Poll#47,CPRS_2000_Feb_Poll#47,,,Which of the following political parties do you support?,"Concerning the armed attack against Israeli targets, I....
: Support",,495
March,2000,NA,25,NA,NA,12.2,36.2,15.3,36.3,43.8,NA,NA,NA,NA,CPRS_2000_Mar_Poll#48,CPRS_2000_Mar_Poll#48,CPRS_2000_Mar_Poll#48,,,Which of the following political parties do you support?,"Concerning the armed attack against Israeli targets, I....
: Support",,NA
April,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
May,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
June,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
July,2000,NA,NA,NA,NA,10.9,42,13,34.2,48.8,NA,NA,NA,NA,"labour force survey_ILO standards (quarter3, 2000)",PSR_2000_July_Poll#1,,,,Which of the following political parties do you support?,"Concerning the armed attack against Israeli targets, I....
: Support",,473
August,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
September,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
October,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"labour force survey_ILO standards (quarter4, 2000)",,,,,,,,NA
November,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
December,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
January,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
February,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
March,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
April,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
May,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
June,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
July,2001,NA,NA,NA,NA,19,26.5,22.5,32.2,89.2,63.8,95.3,NA,NA,,PSR_2000_July_Poll#2,PSR_2000_July_Poll#2,,,Which of the following political parties do you support?,"Concerning the armed attack against Israeli targets, I....
: Strongly Support (Support)",,506
August,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
September,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
October,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
November,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
December,2001,NA,NA,NA,NA,19.6,28.2,17.8,34.5,64,60.5,92.4,92.3,NA,,PSR_2001_Dec_Poll#3,PSR_2001_Dec_Poll#3,,,Which of the following political parties do you support?,"Concerning the armed attack against Israeli targets, I....
: Strongly Support +Support",,506
January,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"labour force survey_ILO standards (quarter1, 2002)",,,,,,,,NA
February,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
March,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
April,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"labour force survey_ILO standards (quarter2, 2002)",,,,,,,,NA
May,2002,NA,NA,NA,NA,18.7,32.5,18.3,30.4,NA,59.1,92.3,92.1,NA,,PSR_2002_May_Poll#4,PSR_2002_May_Poll#4,,,Which of the following political parties do you support?,"Note: only soldier, civilian, settler
: strongly support (support)",,507
June,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
July,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"labour force survey_ILO standards (quarter3, 2002)",,,,,,,,NA
August,2002,NA,NA,NA,NA,23.1,26.1,15,36,NA,60.5,96.2,94.3,NA,,PSR_2002_Aug_Poll#5,PSR_2002_Aug_Poll#5,,,Which of the following political parties do you support?,"Note: only soldier, civilian, settler",,506
September,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
October,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"labour force survey_ILO standards (quarter4, 2002)",,,,,,,,NA
November,2002,NA,NA,NA,NA,18,26.5,21.7,33.9,NA,58.4,93.7,93.7,NA,,PSR_2002_Nov_Poll#6,PSR_2002_Nov_Poll#6,,,Which of the following political parties do you support?,"Note: only soldier, civilian, settler",,505
December,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
January,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"labour force survey_ILO standards (quarter1, 2003)",,,,,,,,NA
February,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
March,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
April,2003,NA,NA,NA,NA,18.9,29.9,18.1,33.1,NA,64.1,96.6,94.7,NA,"labour force survey_ILO standards (quarter2, 2003)",PSR_2003_Apr_Poll#7,PSR_2003_Apr_Poll#7,,,Which of the following political parties do you support?,"Note: only soldier, civilian, settler",,494
May,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
June,2003,NA,NA,NA,NA,25.5,23.2,17.9,33.4,NA,NA,NA,NA,25.8,,PSR_2003_June_Poll#8,,PSR_2003_June_Poll#8,,Which of the following political parties do you support?,,"Generally, how do you evaluate the performance of the Palestinian government (the Cabinet)? : Very good + good",484
July,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"labour force survey_ILO standards (quarter3, 2003)",,,,,,,,NA
August,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
September,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
October,2003,NA,NA,NA,NA,23.9,30.4,14,31.6,NA,65.8,94.1,93.4,NA,"labour force survey_ILO standards (quarter4, 2003)",PSR_2003_Oct_Poll#9,PSR_2003_Oct_Poll#9,,,Which of the following political parties do you support?,"Note: only soldier, civilian, settler",,495
November,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
December,2003,NA,NA,NA,NA,26,24,17,33.1,NA,57.3,89.5,88.9,NA,,PSR_2003_Dec_Poll#10,PSR_2003_Dec_Poll#10,,,Which of the following political parties do you support?,"Note: only soldier, civilian, settler",,484
January,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"labour force survey_ILO standards (quarter1, 2004)",,,,,,,,NA
February,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
March,2004,NA,NA,NA,NA,26.7,23,16.2,33.9,NA,61.4,92.7,91.7,NA,,PSR_2004_Mar_Poll#11,PSR_2004_Mar_Poll#11,,,Which of the following political parties do you support?,"Note: only soldier, civilian, settler",,495
April,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"labour force survey_ILO standards (quarter2, 2004)",,,,,,,,NA
May,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
June,2004,NA,NA,NA,NA,28.5,26.9,18.2,26.4,NA,59.9,89.9,88,NA,,PSR_2004_June_Poll#12,PSR_2004_June_Poll#12,,,Which of the following political parties do you support?,"Note: only soldier, civilian, settler",,485
July,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"labour force survey_ILO standards (quarter3, 2004)",,,,,,,,NA
August,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
September,2004,NA,NA,NA,NA,29.6,24.3,18.2,27.8,,,,,,,PSR_2004_Sep_Poll#13,PSR_2004_Sep_Poll#13,PSR_2004_Sep_Poll#13,,Which of the following political parties do you support?,"Note: only soldier, civilian, settler","Generally, how do you evaluate the performance of the Palestinian government (the Cabinet)? : Very good + good",495
October,2004,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standards (quarter4, 2004)",,,,,,,,NA
November,2004,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
December,2004,NA,NA,NA,NA,21.8,39,11.8,27.3,,,,,,,PSR_2004_Dec_Poll#14,PSR_2004_Dec_Poll#14,,,Which of the following political parties do you support?,"Note: only soldier, civilian, settler",,483
January,2005,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter1, 2005)",,,,,,,,NA
February,2005,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
March,2005,NA,NA,NA,NA,32.4,35.3,10.7,21.3,,,,,,,PSR_2005_Mar_Poll#15,PSR_2005_Mar_Poll#15,,,Which of the following political parties do you support?,Note: civilian only,,484
April,2005,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter2, 2005)",,,,,,,,NA
May,2005,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
June,2005,NA,NA,NA,NA,35.4,40.5,10.2,13.8,,,,,,,PSR_2005_June_Poll#16,PSR_2005_June_Poll#16,,,Which of the following political parties do you support?,Note: civilian only,"Generally, how do you evaluate the performance of the Palestinian government (the Cabinet)? : Very good + good",495
July,2005,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter3, 2005)",,,,,,,,NA
August,2005,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
September,2005,NA,NA,NA,NA,31.7,39.9,13.8,14.5,,,,,,,PSR_2005_Sep_Poll#17,PSR_2005_Sep_Poll#17,,,Which of the following political parties do you support?,Note: civilian only,,476
October,2005,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter4, 2005)",,,,,,,,NA
November,2005,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
December,2005,NA,NA,NA,NA,28.9,48.7,10.9,11.4,,,,,,,PSR_2005_Dec_Poll#18,PSR_2005_Dec_Poll#18,,,Which of the following political parties do you support?,"Now, that the Israeli withdrawal from the Gaza Strip has been completed, do you support or oppose continuation of armed attacks from the Gaza Strip against Israeli targets?: Strongly support (support)",,476
January,2006,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter1, 2006)",,,,,,,,NA
February,2006,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
March,2006,NA,NA,NA,NA,41,35,12.5,11.4,,,,,,,PSR_2006_Mar_Poll#19,PSR_2006_Mar_Poll#19,,,Which of the following political parties do you support?,Note: civilian only,,463
April,2006,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter2, 2006)",,,,,,,,NA
May,2006,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
June,2006,NA,NA,NA,NA,36.3,34.8,10.1,18.7,,,,,,,PSR_2006_June_Poll#20,PSR_2006_June_Poll#20,,,Which of the following political parties do you support?,Note: civilian only,,440
