month,year,unemp_respondent,unemp_cpsr,unemp_psr,unemp_pcbs,supportHamas,supportFatah,supportOther,supportNone,armedattacks,armedattacks_civilians ,armedattacks_soldiers,armedattacks_settlers,govsup,source_unemployment,source_support,source_armed,source_govsup,question_unemployment,question_support,question_armed,question_govsup,size
March,1995,NA,35,NA,NA,11.1,47.3,28.2,13.4,31.7,NA,NA,NA,35.4,CPRS_1995_Mar_Poll#16,CPRS_1995_Mar_Poll#16,,CPRS_1995_Mar_Poll#16,,"If elections were held today, you would vote for candidates
affiliated with:","With regard to armed attacks against Israeli targets, I...","What is your evaluation of the performance of the Palestinian National
Authority?
: Excellent + Good",863
April,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
May,1995,NA,27,NA,NA,12.1,44.8,27,16,NA,NA,NA,NA,NA,CPRS_1995_May_Poll#17,CPRS_1995_May_Poll#17,,,,"If elections were held today, you would vote for candidates
affiliated with:",,,856
June,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
July,1995,NA,27,NA,NA,13.8,43.6,26.5,16.9,NA,NA,NA,NA,NA,CPRS_1995_JULY_Poll#18,CPRS_1995_JULY_Poll#18,,,,"If elections were held today, you would vote for candidates
affiliated with:",,,719
August,1995,NA,NA,NA,NA,15.6,43.9,25.9,14.6,NA,17.6,66.7,71.2,39.7,,CPRS_1995_Aug and Sep_Poll#19,CPRS_1995_Aug and Sep_Poll#19,CPRS_1995_Aug and Sep_Poll#19,, Which of the following factions do you support: ,"Note: only soldier, civilian, settler"," What is your evaluation of the performance of the Palestinian National
Authority? 
: Excellent + Good",740
September,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
October,1995,NA,NA,NA,NA,14.3,50.5,20.8,14.1,NA,NA,NA,NA,NA,,CPRS_1995_Oct_Poll#20,,,," If general political elections were held and I decided to participate,
I would vote for...",,,729
November,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
December,1995,NA,25,NA,NA,10.3,51.7,24.1,14,NA,NA,NA,NA,NA,CPRS_1995_Dec_Poll#21,CPRS_1995_Dec_Poll#21,,,,"If elections were held today, you would vote for candidates
affiliated with:",,,729
January,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
February,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
March,1996,NA,44,NA,NA,6,44.3,25.2,24.4,23.8,NA,NA,NA,NA,CPRS_1996_Mar_Poll#22,CPRS_1996_Mar_Poll#22,CPRS_1996_Mar_Poll#22,,, Which of the following political movements do you support: ," Lately, armed attacks have taken place against Israelis in Jerusalem,
Tel Aviv and Ashkelon. Do you support such attacks?
: yes",,786
April,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
May,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
June,1996,NA,30,NA,NA,8.8,39.3,22.6,29.4,NA,NA,NA,NA,NA,CPRS_1996_June_Poll#23,CPRS_1996_June_Poll#23,,,,Which of the following political trends do you support?,,,865
July,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
August,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
September,1996,NA,34,NA,NA,8.3,41.8,25.3,24.7,NA,NA,NA,NA,59.9,CPRS_1996_Sep_Poll#24,CPRS_1996_Sep_Poll#24,,CPRS_1996_Sep_Poll#24,, Which political party do you support?,,"Generally, how do you evaluate the performance of the Palestinian government (the
Cabinet)?
: Very good+good",777
October,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
November,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
December,1996,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.2,CPRS_1996_Dec_Poll#25,,CPRS_1996_Dec_Poll#25,CPRS_1996_Dec_Poll#25,,,"With regard to armed attacks against Israeli targets, I...","Performance of the Palestinian Government
: very good+good",804
January,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
February,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
March,1997,NA,31,NA,NA,9.4,42.1,18.7,29.7,39.2,NA,NA,NA,NA,CPRS_1997_Mar_Poll#26,CPRS_1997_Mar_Poll#26,CPRS_1997_Mar_Poll#26,,, Which political party do you support?,"With regard to armed attacks against Israeli targets, I...
: Support",,1031
April,1997,NA,26,NA,NA,9.9,38.4,20.3,31.4,NA,NA,NA,NA,56.5,CPRS_1997_Apr_Poll#27,CPRS_1997_Apr_Poll#27,,CPRS_1997_Apr_Poll#27,,Which political party do you support?,,"Generally, how do you evaluate the performance of the Palestinian government (the Executive
Cabinet)? : Very good + good",824
May,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
June,1997,NA,14,NA,NA,8,37.3,15.5,39.3,NA,NA,NA,NA,52,CPRS_1997_June_Poll#28,CPRS_1997_June_Poll#28,,CPRS_1997_June_Poll#28,,Which political party do you support?,," Generally, how do you evaluate the performance of the Palestinain Executive Authority (the
Cabinet) : Very good + good",810
July,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
August,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
September,1997,NA,24,NA,NA,8.8,33.8,20.6,36.8,33.9,NA,NA,NA,53.6,CPRS_1997_Sep_Poll#29,CPRS_1997_Sep_Poll#29,CPRS_1997_Sep_Poll#29,CPRS_1997_Sep_Poll#29,,Which political party do you support?,Several suicide attacks against Israelis took place in West Jerusalem during the past few weeks. Do you support or oppose these attacks?: Support," Generally, how do you evaluate the performance of the Palestinain Executive Authority (the
Cabinet) : Very good + good",813
October,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
November,1997,NA,23,NA,NA,12.2,41.5,20.4,25.9,NA,NA,NA,NA,NA,CPRS_1997_Nov_Poll#30,CPRS_1997_Nov_Poll#30,,,,Which of the following political trends do you support?,,,823
December,1997,NA,33,NA,NA,11.7,35.6,26.2,26.4,NA,NA,NA,NA,57.1,CPRS_1997_Dec_Poll#31,CPRS_1997_Dec_Poll#31,,CPRS_1997_Dec_Poll#31,,Which of the following political trends do you support?,,"Generally, how do you evaluate the performance of the Palestinian government (the Cabinet)? : Very good + good",831
January,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
February,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
March,1998,NA,21,NA,NA,7.9,42.3,18,31.8,NA,NA,NA,NA,61.9,CPRS_1998_Mar_Poll#32,CPRS_1998_Mar_Poll#32,,CPRS_1998_Mar_Poll#32,,Which of the following political trends do you support?,,"Generally, how do you evaluate the performance of the Palestinian government (the Cabinet)? : Very good + good",822
April,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
May,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
June,1998,NA,22,NA,NA,10.8,39.9,18.6,30.8,47.1,NA,NA,NA,51.2,CPRS_1998_June_Poll#33,CPRS_1998_June_Poll#33,CPRS_1998_June_Poll#34,CPRS_1998_June_Poll#33,,Which of the following political parties do you support?,"Concerning the armed attack against Israeli targets, I....
: Support","Generally, how do you evaluate the performance of the Palestinian government (the Cabinet)? : Very good + good",802
July,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
August,1998,NA,19,NA,NA,12.7,36.2,17.5,33.7,39.4,NA,NA,NA,NA,CPRS_1998_Aug_Poll#35,CPRS_1998_Aug_Poll#35,CPRS_1998_Aug_Poll#35,,,Which of the following political parties do you support?,"Concerning the armed attack against Israeli targets, I....
: Support",,817
September,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
October,1998,NA,18,NA,NA,11.1,35.9,18.1,34.8,51.9,NA,NA,NA,38.1,CPRS_1998_Oct_Poll#36,CPRS_1998_Oct_Poll#36,CPRS_1998_Oct_Poll#36,CPRS_1998_Oct_Poll#36,,Which of the following political parties do you support?,"Concerning the armed attack against Israeli targets, I....
: Support","Generally, how do you evaluate the performance of the Palestinian government (the Cabinet)? : Very good + good",814
November,1998,NA,21,NA,NA,10.7,39.1,19.3,30.9,41.1,NA,NA,NA,NA,CPRS_1998_Nov_Poll#37,CPRS_1998_Nov_Poll#37,CPRS_1998_Nov_Poll#37,,,Which of the following political parties do you support?,"Concerning the armed attack against Israeli targets, I....
: Support",,828
December,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
January,1999,NA,22,NA,NA,8.2,39.4,16.6,35.9,53.2,NA,NA,NA,45.9,CPRS_1999_Jan_Poll#38,CPRS_1999_Jan_Poll#38,CPRS_1999_Jan_Poll#38,CPRS_1999_Jan_Poll#38,,Which of the following political parties do you support?,"Concerning the armed attack against Israeli targets, I....
: Support","Generally, how do you evaluate the performance of the Palestinian government (the Cabinet)? : Very good + good",NA
February,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
March,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
April,1999,NA,15,NA,NA,11.7,38.4,15,34.8,44,NA,NA,NA,48.7,CPRS_1999_Apr_Poll#40,CPRS_1999_Apr_Poll#40,CPRS_1999_Apr_Poll#40,CPRS_1999_Apr_Poll#40,,,"Concerning the armed attack against Israeli targets, I....
: Support","Generally, how do you evaluate the performance of the Palestinian government (the Cabinet)? : Very good + good",820
May,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
June,1999,NA,18,NA,NA,9.7,36.3,20.1,33.9,43.9,NA,NA,NA,NA,CPRS_1999_june_Poll#41,CPRS_1999_june_Poll#41,CPRS_1999_june_Poll#41,,,Which of the following political parties do you support?,"Concerning the armed attack against Israeli targets, I....
: Support",,825
July,1999,NA,15,NA,NA,11.4,31.8,21.1,35.6,39.2,NA,NA,NA,45.8,CPRS_1999_July_Poll#42,CPRS_1999_July_Poll#42,CPRS_1999_July_Poll#42,CPRS_1999_July_Poll#42,,Which of the following political parties do you support?,"Concerning the armed attack against Israeli targets, I....
: Support","Generally, how do you evaluate the performance of the Palestinian government (the Cabinet)? : Very good + good",824
August,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
September,1999,NA,21,NA,NA,9.9,38.4,18.1,33.5,35.1,NA,NA,NA,NA,CPRS_1999_Sep_Poll#43,CPRS_1999_Sep_Poll#43,CPRS_1999_Sep_Poll#43,,,Which of the following political parties do you support?,"Concerning the armed attack against Israeli targets, I....
: Support",,824
October,1999,NA,15,NA,NA,9.8,36.2,17.2,36.8,41.1,NA,NA,NA,44.2,CPRS_1999_Oct_Poll#44,CPRS_1999_Oct_Poll#44,CPRS_1999_Oct_Poll#44,CPRS_1999_Oct_Poll#44,,Which of the following political parties do you support?,"Concerning the armed attack against Israeli targets, I....
: Support","Generally, how do you evaluate the performance of the Palestinian government (the Cabinet)? : Very good + good",823
November,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
December,1999,NA,15,NA,NA,10,38.2,13.3,38.5,36.4,NA,NA,NA,NA,CPRS_1999_Dec_Poll#45,CPRS_1999_Dec_Poll#45,CPRS_1999_Dec_Poll#45,,,Which of the following political parties do you support?,"Concerning the armed attack against Israeli targets, I....
: Support",,807
January,2000,NA,21,NA,NA,9.3,35.1,18.9,36.7,39.7,NA,NA,NA,45.2,CPRS_2000_Jan_Poll#46,CPRS_2000_Jan_Poll#46,CPRS_2000_Jan_Poll#46,CPRS_2000_Jan_Poll#46,,,"Concerning the armed attack against Israeli targets, I....
: Support","Generally, how do you evaluate the performance of the Palestinian government (the Cabinet)? : Very good + good",NA
February,2000,NA,16,NA,NA,9.3,35.1,18.9,36,39.7,NA,NA,NA,NA,CPRS_2000_Feb_Poll#47,CPRS_2000_Feb_Poll#47,CPRS_2000_Feb_Poll#47,,,Which of the following political parties do you support?,"Concerning the armed attack against Israeli targets, I....
: Support",,823
March,2000,NA,12,NA,NA,13.3,34.2,15.7,36.9,44.1,NA,NA,NA,NA,CPRS_2000_Mar_Poll#48,CPRS_2000_Mar_Poll#48,CPRS_2000_Mar_Poll#48,,,Which of the following political parties do you support?,"Concerning the armed attack against Israeli targets, I....
: Support",,NA
April,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
May,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
June,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
July,2000,NA,NA,NA,NA,9.9,32.9,22.2,35.1,35.5,NA,NA,NA,NA,"labour force survey_ILO standards (quarter3, 2000)",PSR_2000_July_Poll#1,,,,Which of the following political parties do you support?,"Concerning the armed attack against Israeli targets, I....
: Support",,786
August,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
September,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
October,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"labour force survey_ILO standards (quarter4, 2000)",,,,,,,,NA
November,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
December,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
January,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
February,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
March,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
April,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
May,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
June,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
July,2001,NA,NA,NA,NA,15.2,29.7,28.8,26.1,43.9,54.5,89.5,NA,NA,,PSR_2000_July_Poll#2,PSR_2000_July_Poll#2,,,Which of the following political parties do you support?,"Concerning the armed attack against Israeli targets, I....
: Strongly Support (Support)",,812
August,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
September,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
October,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
November,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
December,2001,NA,NA,NA,NA,13.8,28.5,28,29.9,80.1,56.7,92.3,92,NA,,PSR_2001_Dec_Poll#3,PSR_2001_Dec_Poll#3,,,Which of the following political parties do you support?,"Concerning the armed attack against Israeli targets, I....
: Strongly Support +Support",,851
January,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"labour force survey_ILO standards (quarter1, 2002)",,,,,,,,NA
February,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
March,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
April,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"labour force survey_ILO standards (quarter2, 2002)",,,,,,,,NA
May,2002,NA,NA,NA,NA,13.5,31.1,26.4,28.8,NA,47.4,91.1,87.5,NA,,PSR_2002_May_Poll#4,PSR_2002_May_Poll#4,,,Which of the following political parties do you support?,"Note: only soldier, civilian, settler
: strongly support (support)",,810
June,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
July,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"labour force survey_ILO standards (quarter3, 2002)",,,,,,,,NA
August,2002,NA,NA,NA,NA,17.7,25.3,26.3,30.6,NA,47.1,89.8,89.3,NA,,PSR_2002_Aug_Poll#5,PSR_2002_Aug_Poll#5,,,Which of the following political parties do you support?,"Note: only soldier, civilian, settler",,814
September,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
October,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"labour force survey_ILO standards (quarter4, 2002)",,,,,,,,NA
November,2002,NA,NA,NA,NA,15.7,26.8,23,34.6,NA,50,89.5,86.4,NA,,PSR_2002_Nov_Poll#6,PSR_2002_Nov_Poll#6,,,Which of the following political parties do you support?,"Note: only soldier, civilian, settler",,814
December,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
January,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"labour force survey_ILO standards (quarter1, 2003)",,,,,,,,NA
February,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
March,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
April,2003,NA,NA,NA,NA,16.5,23.3,26.5,33.6,NA,53.2,90.6,89.1,NA,"labour force survey_ILO standards (quarter2, 2003)",PSR_2003_Apr_Poll#7,PSR_2003_Apr_Poll#7,,,Which of the following political parties do you support?,"Note: only soldier, civilian, settler",,821
May,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
June,2003,NA,NA,NA,NA,20.3,27,22.1,30.5,NA,NA,NA,NA,30.9,,PSR_2003_June_Poll#8,,PSR_2003_June_Poll#8,,Which of the following political parties do you support?,,"Generally, how do you evaluate the performance of the Palestinian government (the Cabinet)? : Very good + good",834
July,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"labour force survey_ILO standards (quarter3, 2003)",,,,,,,,NA
August,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
September,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
October,2003,NA,NA,NA,NA,19.1,27.2,20.1,33.7,NA,47.5,87.7,86.7,NA,"labour force survey_ILO standards (quarter4, 2003)",PSR_2003_Oct_Poll#9,PSR_2003_Oct_Poll#9,,,Which of the following political parties do you support?,"Note: only soldier, civilian, settler",,823
November,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
December,2003,NA,NA,NA,NA,16.6,26.1,22.7,34.5,NA,41.9,85.5,84.8,NA,,PSR_2003_Dec_Poll#10,PSR_2003_Dec_Poll#10,,,Which of the following political parties do you support?,"Note: only soldier, civilian, settler",,835
January,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"labour force survey_ILO standards (quarter1, 2004)",,,,,,,,NA
February,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
March,2004,NA,NA,NA,NA,16.4,28.7,21.3,33.7,NA,48,84.2,82.3,NA,,PSR_2004_Mar_Poll#11,PSR_2004_Mar_Poll#11,,,Which of the following political parties do you support?,"Note: only soldier, civilian, settler",,825
April,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"labour force survey_ILO standards (quarter2, 2004)",,,,,,,,NA
May,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
June,2004,NA,NA,NA,NA,21.4,27.9,25.2,25.5,NA,44.4,83.7,79.7,NA,,PSR_2004_June_Poll#12,PSR_2004_June_Poll#12,,,Which of the following political parties do you support?,"Note: only soldier, civilian, settler",,835
July,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"labour force survey_ILO standards (quarter3, 2004)",,,,,,,,NA
August,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
September,2004,NA,NA,NA,NA,17.4,31.3,22.1,29.3,,,,,,,PSR_2004_Sep_Poll#13,PSR_2004_Sep_Poll#13,PSR_2004_Sep_Poll#13,,Which of the following political parties do you support?,"Note: only soldier, civilian, settler","Generally, how do you evaluate the performance of the Palestinian government (the Cabinet)? : Very good + good",824
October,2004,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standards (quarter4, 2004)",,,,,,,,NA
November,2004,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
December,2004,NA,NA,NA,NA,15.3,40.9,19.5,24.3,,,,,,,PSR_2004_Dec_Poll#14,PSR_2004_Dec_Poll#14,,,Which of the following political parties do you support?,"Note: only soldier, civilian, settler",,836
January,2005,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter1, 2005)",,,,,,,,NA
February,2005,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
March,2005,NA,NA,NA,NA,20.8,35.6,22.8,20.9,,,,,,,PSR_2005_Mar_Poll#15,PSR_2005_Mar_Poll#15,,,Which of the following political parties do you support?,Note: civilian only,,835
April,2005,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter2, 2005)",,,,,,,,NA
May,2005,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
June,2005,NA,NA,NA,NA,26.9,41.6,16,15.5,,,,,,,PSR_2005_June_Poll#16,PSR_2005_June_Poll#16,,,Which of the following political parties do you support?,Note: civilian only,"Generally, how do you evaluate the performance of the Palestinian government (the Cabinet)? : Very good + good",825
July,2005,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter3, 2005)",,,,,,,,NA
August,2005,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
September,2005,NA,NA,NA,NA,25,37.8,19.4,17.8,,,,,,,PSR_2005_Sep_Poll#17,PSR_2005_Sep_Poll#17,,,Which of the following political parties do you support?,Note: civilian only,,892
October,2005,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter4, 2005)",,,,,,,,NA
November,2005,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
December,2005,NA,NA,NA,NA,27.1,43,16.4,13.5,,,,,,,PSR_2005_Dec_Poll#18,PSR_2005_Dec_Poll#18,,,Which of the following political parties do you support?,"Now, that the Israeli withdrawal from the Gaza Strip has been completed, do you support or oppose continuation of armed attacks from the Gaza Strip against Israeli targets?: Strongly support (support)",,840
January,2006,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter1, 2006)",,,,,,,,NA
February,2006,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
March,2006,NA,NA,NA,NA,34.2,34,15.7,16.2,,,,,,,PSR_2006_Mar_Poll#19,PSR_2006_Mar_Poll#19,,,Which of the following political parties do you support?,Note: civilian only,,809
April,2006,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,"labour force survey_ILO standars (quarter2, 2006)",,,,,,,,NA
May,2006,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,NA
June,2006,NA,NA,NA,NA,30.9,33,13.8,22.3,,,,,,,PSR_2006_June_Poll#20,PSR_2006_June_Poll#20,,,Which of the following political parties do you support?,Note: civilian only,,830
